date, pm25, pm10, o3, no2, so2, co
2024/12/1, 101, , , , , 
2024/11/1, 19, 44, 41, 11, 4, 8
2024/11/2, 102, 49, 39, 18, 4, 6
2024/11/3, 125, 45, 58, 18, 4, 6
2024/11/4, 120, 19, 32, 8, 3, 3
2024/11/5, 39, 16, 34, 9, 3, 3
2024/11/6, 29, 19, 29, 11, 3, 3
2024/11/7, 35, 21, 36, 13, 3, 4
2024/11/8, 39, 27, 33, 13, 3, 4
2024/11/9, 48, 25, 41, 11, 3, 4
2024/11/10, 60, 27, 39, 15, 3, 5
2024/11/11, 77, 36, 42, 21, 3, 5
2024/11/12, 92, 38, 42, 20, 3, 6
2024/11/13, 111, 30, 32, 14, 3, 6
2024/11/14, 76, 39, 15, 17, 3, 8
2024/11/15, 112, 33, 26, 16, 3, 7
2024/11/16, 97, 18, 27, 10, 4, 5
2024/11/17, 51, 22, 27, 7, 3, 2
2024/11/18, 31, 21, 26, 9, 3, 3
2024/11/19, 24, 22, 21, 11, 3, 3
2024/11/20, 41, 49, 24, 20, 4, 6
2024/11/21, 118, 53, 39, 19, 4, 5
2024/11/22, 135, 13, 29, 11, 3, 3
2024/11/23, 31, 19, 29, 15, 3, 3
2024/11/24, 40, 27, 21, 15, 3, 4
2024/11/25, 59, 32, 23, 11, 3, 5
2024/11/26, 82, 52, 27, 12, 4, 5
2024/11/27, 67, 65, 26, 13, 3, 5
2024/11/28, 65, 47, 24, 17, 4, 6
2024/11/29, 60, 56, 27, 31, 4, 6
2024/11/30, 98, 53, 34, 24, 4, 5
2024/10/1, 34, 21, 38, 5, 3, 4
2024/10/2, 41, 18, 39, 6, 3, 4
2024/10/3, 36, 17, 41, 7, 3, 4
2024/10/4, 31, 13, 36, 7, 3, 4
2024/10/5, 27, 8, 35, 8, 3, 4
2024/10/6, 26, 11, 38, 7, 3, 4
2024/10/7, 31, 32, 37, 10, 3, 7
2024/10/8, 93, 27, 43, 12, 3, 6
2024/10/9, 69, 46, 69, 22, 4, 8
2024/10/10, 111, 56, 68, 24, 4, 8
2024/10/11, 137, 41, 57, 18, 3, 7
2024/10/12, 110, 15, 46, 13, 3, 4
2024/10/13, 41, 32, 30, 16, 3, 5
2024/10/14, 63, 41, 29, 20, 3, 6
2024/10/15, 106, 22, 34, 14, 3, 4
2024/10/16, 72, 27, 37, 10, 3, 5
2024/10/17, 67, 34, 53, 12, 3, 5
2024/10/18, 81, 23, 31, 7, 3, 6
2024/10/19, 54, 35, 31, 12, 3, 6
2024/10/20, 54, 37, 16, 24, 3, 10
2024/10/21, 87, 44, 25, 14, 3, 10
2024/10/22, 116, 32, 34, 11, 3, 7
2024/10/23, 95, 16, 38, 9, 3, 5
2024/10/24, 45, 29, 40, 10, 3, 5
2024/10/25, 45, 10, 26, 8, 3, 5
2024/10/26, 24, 13, 35, 10, 3, 5
2024/10/27, 35, 38, 35, 12, 3, 6
2024/10/28, 104, 13, 37, 12, 3, 4
2024/10/29, 41, 24, 39, 10, 3, 4
2024/10/30, 50, 19, 30, 11, 3, 4
2024/10/31, 47, 6, 36, 5, 3, 4
2024/7/1, 71, 20, 39, 8, 2, 4
2024/7/2, 54, 21, 70, 11, 2, 5
2024/7/3, 47, 33, 74, 12, 2, 5
2024/7/4, 74, 44, 13, 19, 2, 6
2024/7/5, 81, 34, 83, 8, 2, 5
2024/7/6, 73, 37, 77, 10, 2, 5
2024/7/7, 76, 33, 67, 10, , 2
2024/7/8, 70, 37, 69, 13, 2, 2
2024/7/9, 70, 36, 31, 14, 2, 4
2024/7/10, 71, 20, 37, 14, 2, 3
2024/7/11, 52, 19, 26, 15, 2, 3
2024/7/12, 63, 36, 31, 16, 2, 4
2024/7/13, 99, 48, 47, 15, 2, 4
2024/7/14, 128, 33, 49, 16, 3, 4
2024/7/15, 91, 16, 41, 8, 2, 2
2024/7/16, 47, 27, 69, 7, 3, 3
2024/7/17, 49, 30, 41, 11, 2, 4
2024/7/18, 61, 33, 84, 12, 2, 4
2024/7/19, 74, 28, 70, 7, 2, 3
2024/7/20, 59, 26, 75, 7, 2, 3
2024/7/21, 54, 21, 53, 6, 2, 3
2024/7/22, 40, 18, 39, 5, 2, 3
2024/7/23, 32, 20, 17, 4, 2, 3
2024/7/24, 29, 24, 19, 4, 2, 3
2024/7/25, 34, 28, 18, 4, 2, 3
2024/7/26, 44, 22, 24, 3, 2, 4
2024/7/27, 39, 20, 29, 3, 2, 4
2024/7/28, 38, 14, 39, 5, 2, 4
2024/7/29, 32, 15, 35, 5, 2, 4
2024/7/30, 29, 25, 70, 6, 2, 4
2024/7/31, 53, 30, 70, 8, 2, 5
2024/8/1, 73, 40, 119, 11, 2, 7
2024/8/2, 87, 38, 75, 9, 2, 5
2024/8/3, 89, 29, 59, 8, , 4
2024/8/4, 64, 29, 61, 6, , 3
2024/8/5, 66, 27, 37, 5, , 3
2024/8/6, 62, 25, 36, 6, , 3
2024/8/7, 65, 31, 67, 9, , 4
2024/8/8, 67, 28, 70, 9, , 4
2024/8/9, 62, 31, 75, 7, , 4
2024/8/10, 65, 35, 80, 7, , 5
2024/8/11, 74, 44, 53, 11, 2, 6
2024/8/12, 91, 33, 49, 6, 2, 5
2024/8/13, 85, 15, 41, 7, 2, 4
2024/8/14, 45, 22, 37, 7, 2, 5
2024/8/15, 52, 26, 28, 8, 2, 5
2024/8/16, 69, 17, 32, 5, 2, 5
2024/8/17, 53, 12, 30, 4, 2, 3
2024/8/18, 37, 16, 26, 5, 2, 3
2024/8/19, 37, 21, 55, 5, 2, 3
2024/8/20, 52, 18, 41, 6, 2, 4
2024/8/21, 41, 42, 94, 8, 2, 6
2024/8/22, 79, 26, 85, 8, 2, 6
2024/8/23, 63, 26, 41, 6, 2, 4
2024/8/24, 57, 22, 41, 7, 2, 3
2024/8/25, 56, 20, 43, 7, 2, 3
2024/8/26, 45, 37, 63, 12, 2, 5
2024/8/27, 71, 25, 32, 9, 3, 5
2024/8/28, 74, 15, 33, 7, 2, 3
2024/8/29, 41, 22, 40, 9, 3, 5
