date, pm25, pm10, o3, no2, so2, co
2024/12/1, 108, 12, , 7, 5, 5
2024/12/2, 34, , , , , 
2024/11/1, 116, 52, , 22, 8, 5
2024/11/2, 112, 57, , 24, 14, 8
2024/11/3, 131, 23, , 14, 6, 3
2024/11/4, 57, 34, , 16, 14, 6
2024/11/5, 80, 42, , 20, 9, 7
2024/11/6, 98, 52, , 17, 9, 8
2024/11/7, 119, 54, , 15, 11, 6
2024/11/8, 116, 51, , 11, 9, 6
2024/11/9, 101, 38, , 14, 7, 5
2024/11/10, 81, 45, , 19, 11, 9
2024/11/11, 85, 55, , 25, 7, 8
2024/11/12, 111, 50, , 19, 11, 8
2024/11/13, 103, 37, , 22, 7, 9
2024/11/14, 94, 44, , 26, 7, 12
2024/11/15, 108, 25, , 12, 6, 7
2024/11/16, 61, 20, , 11, 7, 3
2024/11/17, 44, 22, , 10, 7, 4
2024/11/18, 47, 48, , 20, 14, 11
2024/11/19, 95, 78, , 27, 14, 11
2024/11/20, 151, 51, , 24, 12, 10
2024/11/21, 112, 43, , 18, 7, 6
2024/11/22, 97, 48, , 21, 10, 9
2024/11/23, 113, 70, , 21, 13, 13
2024/11/24, 151, 47, , 13, 9, 8
2024/11/25, 112, 17, , 9, 7, 5
2024/11/26, 41, 33, , 10, 9, 5
2024/11/27, 55, 39, , 14, 8, 6
2024/11/28, 69, 52, , 22, 12, 11
2024/11/29, 117, 52, , 26, 13, 12
2024/11/30, 121, 44, , 16, 9, 11
2024/10/1, 47, 35, , 16, 6, 5
2024/10/2, 73, 34, , 17, 6, 6
2024/10/3, 71, 41, , 16, 10, 7
2024/10/4, 77, 44, , 17, 9, 5
2024/10/5, 89, 59, , 23, 6, 10
2024/10/6, 125, 31, , 16, 3, 7
2024/10/7, 75, 58, , 25, 7, 10
2024/10/8, 128, 50, , 17, 7, 6
2024/10/9, 94, 29, , 14, 5, 2
2024/10/10, 53, 42, , 17, 8, 6
2024/10/11, 77, 58, , 29, 6, 8
2024/10/12, 110, 65, , 25, 9, 9
2024/10/13, 129, 40, , 10, 9, 3
2024/10/14, 75, 29, , 10, 4, 1
2024/10/15, 36, 44, , 19, 7, 7
2024/10/16, 86, 62, , 26, 12, 10
2024/10/17, 138, 43, , 14, 11, 4
2024/10/18, 83, 35, , 9, 4, 2
2024/10/19, 42, 35, , 15, 7, 3
2024/10/20, 78, 33, , 14, 5, 5
2024/10/21, 79, 34, , 16, 4, 3
2024/10/22, 73, 35, , 15, 6, 4
2024/10/23, 90, 61, , 26, 7, 10
2024/10/24, 134, 70, , 24, 10, 8
2024/10/25, 153, 79, , 27, 5, 8
2024/10/26, 160, 30, , 12, 4, 3
2024/10/27, 76, 44, , 22, 6, 8
2024/10/28, 99, 72, , 19, 8, 9
2024/10/29, 159, 72, , 26, 5, 9
2024/10/30, 147, 85, , 23, 12, 11
2024/10/31, 162, 70, , 23, 8, 7
2024/7/1, 112, 44, , 14, 3, 7
2024/7/2, 108, 17, , 6, 1, 4
2024/7/3, 51, 36, , 6, 2, 7
2024/7/4, 96, 33, , 4, 2, 5
2024/7/5, 92, 25, , 9, 1, 6
2024/7/6, 67, 22, , 10, 2, 5
2024/7/7, 66, 34, , 21, 1, 7
2024/7/8, 103, 33, , 10, 2, 4
2024/7/9, 84, 43, , 15, 2, 5
2024/7/10, 104, 61, , 20, 3, 7
2024/7/11, 145, 57, , 16, 2, 8
2024/7/12, 133, 50, , 12, 2, 7
2024/7/13, 111, 52, , 19, 1, 8
2024/7/14, 119, 50, , 12, 1, 8
2024/7/15, 117, 24, , 6, 3, 3
2024/7/16, 54, 16, , 8, 2, 4
2024/7/17, 47, 33, , 10, 3, 8
2024/7/18, 85, 35, , 7, 3, 7
2024/7/19, 79, 19, , 6, 1, 4
2024/7/20, 36, 26, , 9, 1, 6
2024/7/21, 62, 22, , 7, 1, 5
2024/7/22, 57, 25, , 7, 1, 6
2024/7/23, 75, 16, , 8, 1, 6
2024/7/24, 51, 16, , 12, 1, 7
2024/7/25, 47, 9, , 7, 1, 4
2024/7/26, 20, 9, , 8, 1, 5
2024/7/27, 33, 8, , 6, , 5
2024/7/28, 30, 25, , 7, , 6
2024/7/29, 70, 32, , 7, , 8
2024/7/30, 89, 17, , 4, 1, 4
2024/7/31, 49, 15, , 8, 1, 5
2024/8/1, 58, 18, , 7, 1, 5
2024/8/2, 56, 28, , 9, 1, 7
2024/8/3, 78, 23, , 6, 1, 5
2024/8/4, 58, 11, , 6, 1, 4
2024/8/5, 38, 20, , 8, 1, 5
2024/8/6, 64, 31, , 8, 3, 7
2024/8/7, 79, 39, , 10, 3, 7
2024/8/8, 92, 45, , 11, 2, 7
2024/8/9, 107, 29, , 7, 2, 5
2024/8/10, 67, 29, , 5, 1, 4
2024/8/11, 60, 23, , 8, , 5
2024/8/12, 61, 20, , 8, 2, 4
2024/8/13, 54, 23, , 9, 2, 4
2024/8/14, 57, 26, , 10, 2, 5
2024/8/15, 63, 27, , 10, 2, 4
2024/8/16, 61, 33, , 19, 3, 5
2024/8/17, 76, 44, , 13, 4, 7
2024/8/18, 91, 25, , 11, 2, 5
2024/8/19, 63, 23, , 10, , 6
2024/8/20, 65, 16, , 9, 1, 5
2024/8/21, 52, 16, , 7, 1, 4
2024/8/22, 48, 16, , 11, 2, 4
2024/8/23, 48, 36, , 12, 4, 9
2024/8/24, 78, 25, , 10, 2, 5
2024/8/25, 45, 37, , 18, 3, 7
2024/8/26, 57, 37, , 15, 3, 8
2024/8/27, 61, 34, , 19, 3, 7
2024/8/28, 56, 40, , 15, 5, 8
2024/8/29, 75, 37, , 9, 5, 7
2024/8/30, 79, 50, , 9, 3, 3
2024/8/31, 49, 33, , 7, 3, 6
2024/9/1, 45, 23, , 10, 2, 4
2024/9/2, 31, 29, , 14, 5, 8
2024/9/3, 63, 31, , 11, 5, 5
2024/9/4, 73, 26, , 9, 2, 4
2024/9/5, 40, 32, , 18, 3, 7
2024/9/6, 58, 43, , 22, 5, 9
2024/9/7, 76, 42, , 13, 5, 10
2024/9/8, 86, 36, , 12, 6, 9
2024/9/9, 83, 34, , 14, 3, 5
2024/9/10, 50, 34, , 18, 5, 10
2024/9/11, 58, 35, , 15, 4, 5
2024/9/12, 49, 44, , 11, 4, 4
2024/9/13, 53, 26, , 9, 3, 3
